,keywords
k5O1F_IS0mU,"['진짜', '애정', '애정', '아이돌', '처음', '콘서트', '아이돌', '처음', '진짜', '익숙하다', '좋아하다', '마음', '자신', '상상', '만큼', '진짜', '사랑', '애정']"
k5O1F_IS0mU,['눈물']
k5O1F_IS0mU,"['노래', '좋다']"
k5O1F_IS0mU,"['패러블', '다시', '이쁘다', '버전']"
k5O1F_IS0mU,"['언제', '행복하다', '좋다', '노래']"
k5O1F_IS0mU,"['감동', '아름답다', '뮤비']"
k5O1F_IS0mU,"['기존', '처음']"
k5O1F_IS0mU,['새해']
k5O1F_IS0mU,"['뮤비', '다시']"
k5O1F_IS0mU,"['안무', '진짜', '맛있다', '마지막', '시계', '안무']"
k5O1F_IS0mU,"['오늘', '다시', '보기', '다시']"
k5O1F_IS0mU,"['발매', '일이', '생일', '똑같다']"
k5O1F_IS0mU,"['갑자기', '눈물', '좋다']"
k5O1F_IS0mU,"['주년', '축하', '한번', '이파리', '영원하다', '이파리', '어디', '서나', '응원']"
k5O1F_IS0mU,"['역시', '좋다', '주년', '축하']"
k5O1F_IS0mU,"['처음', '이자', '마지막', '사랑']"
k5O1F_IS0mU,"['사랑', '영원하다', '변치']"
k5O1F_IS0mU,"['데뷔', '주년', '개추']"
k5O1F_IS0mU,
k5O1F_IS0mU,['언제']
k5O1F_IS0mU,['귀엽다']
k5O1F_IS0mU,"['파트', '미치다']"
k5O1F_IS0mU,"['같다', '좋다', '변하다', '세상', '그대로', '있다', '점점', '소중하다', '노래']"
k5O1F_IS0mU,"['없다', '입문', '하루']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['안녕하다', '초등학교', '학년', '잼민', '그렇다', '맞춤법', '살짝', '있다', '세계', '아이돌', '년전', '키딩', '솔직하다', '관심', '없다', '학년', '데뷔', '검색', '무작정', '화이팅', '사랑']"
k5O1F_IS0mU,"['레이브', '여자', '버전']"
k5O1F_IS0mU,"['마스터', '언제', '굳다']"
k5O1F_IS0mU,"['현장', '다른', '감동', '있다']"
k5O1F_IS0mU,"['거도', '벌써']"
k5O1F_IS0mU,"['작곡가', '칸나', '아니다', '자기', '날조하다', '오피', '굳이', '공모전', '과정', '굳다', '유튜브', '날조', '좋다']"
k5O1F_IS0mU,"['오늘', '신곡', '멜론', '위위', '다시', '영원하다']"
k5O1F_IS0mU,['우리']
k5O1F_IS0mU,['이쁘다']
k5O1F_IS0mU,"['커버', '고트']"
k5O1F_IS0mU,
k5O1F_IS0mU,['다시']
k5O1F_IS0mU,"['안무', '잘짯음']"
k5O1F_IS0mU,"['여기', '대르르']"
k5O1F_IS0mU,"['차원', '지금']"
k5O1F_IS0mU,"['별로', '좋아하다', '달라짐']"
k5O1F_IS0mU,['사랑']
k5O1F_IS0mU,"['디시', '자표', '평소', '디시', '싫어하다', '루리웹', '디시']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['집중', '높다']"
k5O1F_IS0mU,
k5O1F_IS0mU,
k5O1F_IS0mU,
k5O1F_IS0mU,"['갑자기', '경련', '머리', '이상하다', '신호', '눈물', '이남']"
k5O1F_IS0mU,"['사실', '버스', '작업', '문제', '고작', '아니다', '일부', '다행']"
k5O1F_IS0mU,"['하루', '시작']"
k5O1F_IS0mU,"['힘들다', '위로']"
k5O1F_IS0mU,"['진짜', '댓글', '여기', '프사', '애니']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['진짜', '보물', '인재']"
k5O1F_IS0mU,"['삭제', '일단', '현재', '논란', '안타깝다', '노래']"
k5O1F_IS0mU,"['진짜', '좋아하다']"
k5O1F_IS0mU,
k5O1F_IS0mU,
k5O1F_IS0mU,"['자신', '제작', '참여', '정당하다', '어떻다', '논란', '생기', '저작권', '신고', '영상']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['해석', '부탁']"
k5O1F_IS0mU,"['베란다', '가위', '바위', '보릴', '버그', '짝짝']"
k5O1F_IS0mU,"['자신', '없다', '안무', '딴딴하다', '바로', '하이라이트', '안무', '노벨상', '고음', '어서', '안무', '사랑스럽다', '짝짝', '귀엽다', '사랑스럽다', '어쩌']"
k5O1F_IS0mU,"['축하', '영상', '좋다']"
k5O1F_IS0mU,['여기']
k5O1F_IS0mU,"['행복하다', '좋다']"
k5O1F_IS0mU,['백만']
k5O1F_IS0mU,
k5O1F_IS0mU,
k5O1F_IS0mU,['백만']
k5O1F_IS0mU,"['순회', '공연']"
k5O1F_IS0mU,
k5O1F_IS0mU,['화성']
k5O1F_IS0mU,"['항상', '응원', '파이팅', '나쁘다', '댓글', '관심', '생각']"
k5O1F_IS0mU,"['예전', '분위기', '글러먹었']"
k5O1F_IS0mU,"['릴파님', '좋다', '고생', '겨우', '순항', '싫어하다', '사람', '물어', '상관', '자신', '가면', '밑습니']"
k5O1F_IS0mU,
k5O1F_IS0mU,['최고']
k5O1F_IS0mU,"['영상', '없다', '여기', '다행']"
k5O1F_IS0mU,
