,keywords
k5O1F_IS0mU,"['진짜', '애정', '애정', '아이돌', '처음', '콘서트', '아이돌', '처음', '진짜', '익숙하지', '좋아하는', '마음', '자신', '상상', '만큼', '진짜', '사랑', '애정']"
k5O1F_IS0mU,['눈물']
k5O1F_IS0mU,"['노래', '좋네']"
k5O1F_IS0mU,"['패러블', '다시', '이쁜', '버전']"
k5O1F_IS0mU,"['언제', '행복하고', '좋은', '노래']"
k5O1F_IS0mU,"['감동', '아름답다', '뮤비']"
k5O1F_IS0mU,"['기존', '처음']"
k5O1F_IS0mU,['새해']
k5O1F_IS0mU,"['뮤비', '다시']"
k5O1F_IS0mU,"['안무', '진짜', '맛있다', '마지막', '시계', '안무']"
k5O1F_IS0mU,"['오늘', '다시', '보기', '다시']"
k5O1F_IS0mU,"['발매', '일이', '생일', '똑같아서']"
k5O1F_IS0mU,"['갑자기', '눈물', '좋아']"
k5O1F_IS0mU,"['주년', '축하', '한번', '이파리', '영원한', '이파리', '어디', '서나', '응원']"
k5O1F_IS0mU,"['역시', '좋다', '주년', '축하']"
k5O1F_IS0mU,"['처음', '이자', '마지막', '사랑']"
k5O1F_IS0mU,"['사랑', '영원히', '변치']"
k5O1F_IS0mU,"['데뷔', '주년', '개추']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['언제', '에쁘']"
k5O1F_IS0mU,['귀엽네']
k5O1F_IS0mU,"['파트', '미쳤네']"
k5O1F_IS0mU,"['같은', '좋아', '변한', '세상', '그대로', '있어줘', '점점', '소중한', '노래']"
k5O1F_IS0mU,"['없어', '입문', '하루']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['안녕하세요', '초등학교', '학년', '잼민', '그러니', '맞춤법', '살짝', '있다는', '세계', '아이돌', '년전', '키딩', '솔직히', '관심', '없었죠', '학년', '데뷔', '검색', '무작정', '화이팅', '사랑']"
k5O1F_IS0mU,"['레이브', '여자', '버전']"
k5O1F_IS0mU,"['마스터', '언제']"
k5O1F_IS0mU,"['현장', '다른', '감동', '있다']"
k5O1F_IS0mU,"['거도', '벌써']"
k5O1F_IS0mU,"['작곡가', '칸나', '아니라', '자기', '날조하지말라고', '오피', '굳이', '공모전', '과정', '유튜브', '날조', '좀하지마라']"
k5O1F_IS0mU,"['오늘', '신곡', '멜론', '위위', '다시', '영원하자']"
k5O1F_IS0mU,['우리']
k5O1F_IS0mU,['이쁘당']
k5O1F_IS0mU,"['커버', '고트']"
k5O1F_IS0mU,
k5O1F_IS0mU,['다시']
k5O1F_IS0mU,"['안무', '잘짯음']"
k5O1F_IS0mU,"['여기', '대르르']"
k5O1F_IS0mU,"['차원', '지금']"
k5O1F_IS0mU,"['별로', '좋아했는데', '달라짐']"
k5O1F_IS0mU,['사랑']
k5O1F_IS0mU,"['디시', '자표', '평소', '디시', '싫어하는', '루리웹', '디시']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['집중', '높네']"
k5O1F_IS0mU,
k5O1F_IS0mU,
k5O1F_IS0mU,
k5O1F_IS0mU,"['갑자기', '경련', '머리', '이상한', '신호', '눈물', '이남']"
k5O1F_IS0mU,"['사실', '버스', '작업', '문제', '고작', '아니지만', '일부', '다행']"
k5O1F_IS0mU,"['하루', '시작']"
k5O1F_IS0mU,"['힘들', '위로']"
k5O1F_IS0mU,"['진짜', '댓글', '여기', '프사', '애니']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['진짜', '보물', '인재']"
k5O1F_IS0mU,"['삭제', '일단', '현재', '논란', '안타깝네요', '노래']"
k5O1F_IS0mU,"['진짜', '좋아하구나']"
k5O1F_IS0mU,
k5O1F_IS0mU,
k5O1F_IS0mU,"['자신', '제작', '참여', '정당하게', '어떻게', '논란', '생기', '저작권', '신고', '영상']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['해석', '부탁']"
k5O1F_IS0mU,"['베란다', '가위', '바위', '보릴', '버그', '짝짝']"
k5O1F_IS0mU,"['자신', '없어하는', '안무', '딴딴하고', '바로', '하이라이트', '안무', '노벨상', '고음', '어서', '안무', '사랑스럽다', '짝짝', '귀여워', '사랑스러워', '어쩌']"
k5O1F_IS0mU,"['축하', '영상', '좋겠다']"
k5O1F_IS0mU,['여기']
k5O1F_IS0mU,"['행복하게', '좋겠다']"
k5O1F_IS0mU,['백만']
k5O1F_IS0mU,
k5O1F_IS0mU,
k5O1F_IS0mU,['백만']
k5O1F_IS0mU,"['순회', '공연']"
k5O1F_IS0mU,
k5O1F_IS0mU,['화성']
k5O1F_IS0mU,"['항상', '응원', '파이팅', '나쁜', '댓글', '관심', '생각']"
k5O1F_IS0mU,"['예전', '분위기', '글러먹었']"
k5O1F_IS0mU,"['릴파님', '좋겠습니다', '고생', '겨우', '순항', '싫어하는', '사람', '물어', '상관', '자신', '가면', '밑습니']"
k5O1F_IS0mU,
k5O1F_IS0mU,['최고']
k5O1F_IS0mU,"['영상', '없어서', '여기', '다행']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['태연하게', '방송', '온갖', '착취', '가스', '있을', '누가', '감히', '의심', '우왁굳님', '조롱', '당하시던데', '딱히', '불쌍하다고', '생각', '듭니', '오늘', '해명', '방송', '횡설수설', '주제', '대한', '명확', '성도', '없고', '갈피', '참으로', '인간', '투명하게', '주제', '파악', '인간', '인간', '유튜브', '알고리즘', '배그', '영상', '시작', '인해', '야끼소바', '컵라면', '구매', '보기', '흔히', '아니지만', '영향', '일반인', '영향', '사람', '뭔가', '아이돌', '프로젝트', '심드렁', '딱히', '버튜버', '관심', '없던', '시절', '서요', '악놀', '재밌었습니다', '멤버', '마크', '세상', '모습', '기도', '시간', '소름', '진실', '인간', '말종', '변태', '대체', '사회', '거리', '여전히', '뜨거운', '감자', '열정', '페이', '일삼', '가스', '것입', '예전', '무슨', '유튜브', '썸네일', '시청자', '개인정보', '요구', '정당한', '문화', '상품권', '저작권', '위반', '불리하게', '적용', '용의', '있는', '영상', '대거', '삭제', '진짜', '사람', '이해', '주변', '거리', '채널', '딱히', '의미', '없을', '같아서', '줄기', '뮤비', '삭제', '여기', '댓글', '댓글', '많은', '지금', '상황', '냉정히', '판단', '바보']"
k5O1F_IS0mU,"['직접', '안무', '라이브']"
k5O1F_IS0mU,['좋겠다']
k5O1F_IS0mU,"['노래', '좋다']"
k5O1F_IS0mU,"['행복했으면', '좋겠다']"
k5O1F_IS0mU,"['같은거', '지도', '뮤비', '아이브', '개똥값', '제작', '뮤비', '감독', '집때', '헐값', '제작', '소리', '짘짜']"
k5O1F_IS0mU,"['노래', '저작권', '아니라', '뮤비', '저작권']"
k5O1F_IS0mU,['있네']
k5O1F_IS0mU,['원본']
k5O1F_IS0mU,['원본']
k5O1F_IS0mU,"['삭제', '안되지']"
k5O1F_IS0mU,['삭제']
k5O1F_IS0mU,['삭제']
k5O1F_IS0mU,"['엉엉', '울면', '피온', '이파리', '잎추']"
k5O1F_IS0mU,"['마지막', '댓글', '개월']"
k5O1F_IS0mU,"['부분', '댄서', '르르', '댄서', '느낌']"
k5O1F_IS0mU,['추억']
k5O1F_IS0mU,"['연때', '엔딩', '찡해지겠는데']"
k5O1F_IS0mU,['라이븐']
k5O1F_IS0mU,"['다시', '나로']"
k5O1F_IS0mU,"['이야기', '시작', '아마', '마지막']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['있는', '사람', '있겠지만', '사람', '위해', '페스티벌', '버전', '업로드', '날짜', '원본', '업로드', '날짜', '똑같습니다']"
k5O1F_IS0mU,"['벌써', '페스티벌', '고척돔', '다시', '한번']"
k5O1F_IS0mU,"['다시', '감동', '우리']"
k5O1F_IS0mU,"['갑자기', '궁금점', '부드러운', '기업', '모션캡쳐', '시스템', '있어야만']"
k5O1F_IS0mU,"['르르땅', '머리', '리본']"
k5O1F_IS0mU,"['진짜', '몇번', '실시간', '치유', '같다', '방금', '기름', '대인', '손등', '통증', '미쳤어', '진짜']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['벌써', '년전']"
k5O1F_IS0mU,"['레이브', '음악', '방송', '무대', '대단한']"
k5O1F_IS0mU,"['좋네', '스읍']"
k5O1F_IS0mU,
k5O1F_IS0mU,"['눈물', '버튼', '된거']"
