,nouns
rDFUl2mHIW4,"['노래', '응원']"
rDFUl2mHIW4,"['년도', '사람', '개추']"
rDFUl2mHIW4,['사람']
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['노래', '진짜']"
rDFUl2mHIW4,"['진짜', '키딩', '친구', '기억']"
rDFUl2mHIW4,"['혹시', '보시']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['대체', '누구']"
rDFUl2mHIW4,"['최대', '전성기']"
rDFUl2mHIW4,['미녕']
rDFUl2mHIW4,"['제일', '처음', '노래', '추억']"
rDFUl2mHIW4,
rDFUl2mHIW4,['노래']
rDFUl2mHIW4,"['와타시', '킷타']"
rDFUl2mHIW4,"['퀄리티', '상승', '사실', '업자', '대가리', '지금', '리티', '생각', '마재', '지금', '퀄리티', '그동안', '업자', '이유', '리지', '널곡', '무엇', '퀄리티', '뭐임', '느낌', '생각', '커버', '재해', '본인', '뮤비', '매력', '특색', '보통', '대부분', '일러스트', '뮤비', '커버', '정석', '이자', '거의', '전부', '무방', '어찌', '커버', '뮤직비디오', '형태', '성함', '난이', '사실', '한몫', '생각', '현재', '커버', '아쉬움', '그것', '또한', '본체', '생각', '행보', '응원']"
rDFUl2mHIW4,['쵀애']
rDFUl2mHIW4,['노래']
rDFUl2mHIW4,['진짜']
rDFUl2mHIW4,['노래']
rDFUl2mHIW4,['시절']
rDFUl2mHIW4,"['지금', '댓글', '그녀', '정말']"
rDFUl2mHIW4,['사람']
rDFUl2mHIW4,['명곡']
rDFUl2mHIW4,"['언제', '어도', '노래']"
rDFUl2mHIW4,
rDFUl2mHIW4,"['요즘', '버젼', '하나', '처음', '볼땐', '꼬질', '꼬질', '네임리스', '어우']"
rDFUl2mHIW4,"['뮤비', '건가', '아시']"
rDFUl2mHIW4,"['꼬질해', '보이', '키딩', '년전']"
rDFUl2mHIW4,"['숏츠', '소린', '대체', '나로', '이해', '영역']"
rDFUl2mHIW4,['다시']
rDFUl2mHIW4,"['노래', '노래', '존나', '세대', '느낌']"
rDFUl2mHIW4,"['분경', '회수', '만회']"
rDFUl2mHIW4,"['딩키딩', '예스', '아예']"
rDFUl2mHIW4,
rDFUl2mHIW4,"['개인', '논란', '이후', '방송', '안보', '노래', '아쉬움', '회수', '댓글']"
rDFUl2mHIW4,"['노래', '이분', '키딩', '키딩']"
rDFUl2mHIW4,['와우']
rDFUl2mHIW4,['가사']
rDFUl2mHIW4,['사람']
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['그래픽', '기술']"
rDFUl2mHIW4,['요즘']
rDFUl2mHIW4,"['세구', '아이', '앞머리', '앞머리']"
rDFUl2mHIW4,"['버추', '극한']"
rDFUl2mHIW4,
rDFUl2mHIW4,"['진짜', '혹시', '여신']"
rDFUl2mHIW4,"['아이돌', '자로']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,['추억']
rDFUl2mHIW4,"['여러분', '키딩', '정말', '초등학교', '학년', '잼민', '야르', '그냥', '야르', '노래', '듣기', '시작', '년전', '타고', '라디오', '키딩키딩', '아빠', '아빠', '그냥', '지금', '검색', '야르', '학예회', '안무']"
rDFUl2mHIW4,"['키딩', '벌써', '전이', '그때', '여름날', '진짜', '도파민', '금보', '꼬질꼬질']"
rDFUl2mHIW4,['시간']
rDFUl2mHIW4,"['지금', '학년', '중학생', '우울증', '지고', '계속', '뭔가', '기분', '계속', '노래', '다른', '노래', '세계', '아이돌', '노래', '희망', '노래', '이제', '아이돌', '언제', '누군가', '사람', '세계', '아이돌', '항상', '응원', '모두']"
rDFUl2mHIW4,"['금보', '아바타', '원래']"
rDFUl2mHIW4,"['년월', '사람']"
rDFUl2mHIW4,"['와키딩', '처음', '당시', '퀄리티', '제보', '꼬질이']"
