,nouns
fff8P0kYexQ,['탈덕']
fff8P0kYexQ,['베이스']
fff8P0kYexQ,"['진짜', '인생']"
fff8P0kYexQ,['아위']
fff8P0kYexQ,"['그냥', '노래']"
fff8P0kYexQ,
fff8P0kYexQ,['완전']
fff8P0kYexQ,
fff8P0kYexQ,"['얼마', '남지']"
fff8P0kYexQ,"['세구', '뭔가', '윈터']"
fff8P0kYexQ,['무명']
fff8P0kYexQ,
fff8P0kYexQ,['만이구만']
fff8P0kYexQ,['댓글']
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,"['버퍼링', '식음']"
fff8P0kYexQ,
fff8P0kYexQ,['진짜']
fff8P0kYexQ,"['종결', '점멸']"
fff8P0kYexQ,"['종결', '점멸', '지랄']"
fff8P0kYexQ,['사람']
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,['장르']
fff8P0kYexQ,"['저항', '영상', '마지막', '화면', '꼬리', '광대', '잔뜩', '얼굴', '항상', '당황']"
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,"['볼때', '우리', '아이돌', '진짜', '최고다']"
fff8P0kYexQ,['볼때']
fff8P0kYexQ,"['이건', '볼때', '계속', '게다가', '직접']"
fff8P0kYexQ,['과열']
fff8P0kYexQ,
fff8P0kYexQ,"['아트', '박스', '노래']"
fff8P0kYexQ,
fff8P0kYexQ,"['진짜', '비트', '개쌈뽕', '중독']"
fff8P0kYexQ,
fff8P0kYexQ,"['최소', '시청', '전채', '보고', '나머진', '맴버']"
fff8P0kYexQ,
fff8P0kYexQ,"['부가', '머리']"
fff8P0kYexQ,"['요즘', '댄스', '커버', '해주시', '진짜', '하나']"
fff8P0kYexQ,
fff8P0kYexQ,"['땟깔', '이량', '쫀득거림', '장냔없네영']"
fff8P0kYexQ,"['하루', '몇번', '비챤', '절대', '칭찬']"
fff8P0kYexQ,"['대박', '쩐다']"
fff8P0kYexQ,"['우리', '아가']"
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,"['비트', '악마', '대태훈']"
fff8P0kYexQ,"['하루', '번은']"
fff8P0kYexQ,"['리지', '린다']"
fff8P0kYexQ,['외국인']
fff8P0kYexQ,"['진짜', '최고']"
fff8P0kYexQ,['노래']
fff8P0kYexQ,
fff8P0kYexQ,"['바이럴', '케이팝', '노래']"
fff8P0kYexQ,"['어우', '노래', '다시', '영상', '다시', '취하']"
fff8P0kYexQ,
fff8P0kYexQ,"['여기', '개지']"
fff8P0kYexQ,"['아이러니', '때깔', '감성', '키딩', '안무', '영상', '정도', '때깔']"
fff8P0kYexQ,['계속']
fff8P0kYexQ,
fff8P0kYexQ,['때깔']
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,"['황태훈', '취향', '저격수']"
fff8P0kYexQ,"['뮤비', '어나더', '레벨', '노래']"
fff8P0kYexQ,"['하루', '마무리', '우리', '공주', '보기']"
fff8P0kYexQ,['진짜']
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,"['사랑', '공주']"
fff8P0kYexQ,"['오늘', '하루', '코어', '과열', '화이팅']"
fff8P0kYexQ,['구나']
fff8P0kYexQ,"['이번', '노래', '클릭', '비챤', '클릭', '클릭']"
fff8P0kYexQ,"['세구', '헤메']"
fff8P0kYexQ,"['역대', '중독']"
fff8P0kYexQ,['크뤡쿠뤡']
fff8P0kYexQ,['진짜']
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,['노래']
fff8P0kYexQ,['알고리즘']
fff8P0kYexQ,"['제발', '이번', '년도']"
fff8P0kYexQ,['또또']
fff8P0kYexQ,"['기분', '뮤비', '미모', '맛집']"
fff8P0kYexQ,"['년도', '과열']"
fff8P0kYexQ,"['사랑', '이쁜이']"
fff8P0kYexQ,['쩐다']
fff8P0kYexQ,"['역시', '노래', '버거', '정말', '최고', '평소', '버거', '최고', '정말', '사람', '정도']"
fff8P0kYexQ,"['노래', '에스', '신곡']"
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,['버거']
fff8P0kYexQ,"['처음', '릴파', '압도']"
fff8P0kYexQ,"['유튭', '알고리즘', '네임리스', '저주']"
fff8P0kYexQ,"['일단', '알고리즘']"
fff8P0kYexQ,['미쳣다']
fff8P0kYexQ,['사람']
fff8P0kYexQ,"['플래쉬', '찰떡']"
fff8P0kYexQ,"['세구', '노래']"
fff8P0kYexQ,
fff8P0kYexQ,['릴존']
fff8P0kYexQ,['락다운']
fff8P0kYexQ,"['카메라', '무빙', '다시']"
fff8P0kYexQ,"['노래', '왤케']"
fff8P0kYexQ,"['뮤비', '애초', '네임리스', '할떄', '릴파님', '복근', '그림자', '포인트']"
fff8P0kYexQ,['질리']
fff8P0kYexQ,"['연습', '오지']"
fff8P0kYexQ,['라이브']
fff8P0kYexQ,['가용']
fff8P0kYexQ,['과열']
fff8P0kYexQ,"['노래', '에스', '느낌', '진짜']"
fff8P0kYexQ,"['년도', '작곡', '최고']"
fff8P0kYexQ,"['해돋이', '보기', '코어', '과열']"
fff8P0kYexQ,"['과열', '진짜']"
fff8P0kYexQ,"['노래', '락다운']"
fff8P0kYexQ,"['비챤', '목소리', '미챠']"
fff8P0kYexQ,"['유튜브', '홀린', '듯이']"
fff8P0kYexQ,"['우리', '아이돌', '진짜']"
fff8P0kYexQ,"['노래', '진짜']"
fff8P0kYexQ,"['버거', '때문', '코어', '과열', '흐억']"
fff8P0kYexQ,"['가사', '애초', '의미', '애초', '의미', '애초', '의미', '애초', '의미', '부터', '비정상', '이유', '오류', '통제', '감정', '과열', '의심', '발견', '종결', '과열', '점멸', '애초', '의미', '애초', '의미', '애초', '의미', '애초', '의미', '손가락', '시선', '허락', '감히', '접근', '통제', '감정', '과열', '의심', '발견', '종결', '과열', '점멸', '다시', '과열', '애초', '의미', '애초', '의미', '애초', '의미', '애초', '의미']"
fff8P0kYexQ,
fff8P0kYexQ,['노래']
fff8P0kYexQ,['번은']
fff8P0kYexQ,['과열']
fff8P0kYexQ,"['코어', '듣기', '노래']"
fff8P0kYexQ,"['모두', '크리스마스']"
fff8P0kYexQ,"['세계', '아이돌', '유튜버', '여행', '응원']"
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,['진짜']
fff8P0kYexQ,['쭉쭉']
fff8P0kYexQ,"['이건', '대한민국', '최고', '아이돌']"
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,
fff8P0kYexQ,
