,nouns
bltjk6NfDQM,
bltjk6NfDQM,"['기계', '기계', '나스']"
bltjk6NfDQM,
bltjk6NfDQM,"['혹시', '사람']"
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '레전드']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,['사랑']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,['이요']
bltjk6NfDQM,"['원영', '레이', '유진', '가을', '노래']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '이뻣']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['컨셉', '한번', '더해줫으']"
bltjk6NfDQM,"['우리', '아이브']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['이재', '아이브', '역사', '시작']"
bltjk6NfDQM,"['유진', '진짜']"
bltjk6NfDQM,"['장원영', '해도', '멤버']"
bltjk6NfDQM,
bltjk6NfDQM,"['그날', '보랏빛']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['진짜', '아이브', '시작', '외모', '실력', '완성형']"
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '동글동글', '애기']"
bltjk6NfDQM,"['역시', '리즈', '원래']"
bltjk6NfDQM,
bltjk6NfDQM,['유진']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['개인', '노래', '아이브', '정체', '노래']"
bltjk6NfDQM,
bltjk6NfDQM,"['갑자기', '이서']"
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '갱뱅', '마렵노']"
bltjk6NfDQM,"['노래', '포장']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['아이브', '고급', '향수', '노래', '일레븐', '럽다', '노래', '별로']"
bltjk6NfDQM,"['누굴', '처음', '장원영', '장원영', '집중', '그룹']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['분초', '가을']"
bltjk6NfDQM,['원영']
bltjk6NfDQM,
bltjk6NfDQM,"['그때', '안유진', '장원영', '그룹', '리즈', '이서']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['파트', '색깔', '세트', '박력']"
bltjk6NfDQM,['이서']
bltjk6NfDQM,
bltjk6NfDQM,"['아이브', '카메라감독', '멋찌']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,['사람']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '초등학생', '아이돌', '연습생', '바로', '아이브', '데뷔']"
bltjk6NfDQM,"['이서', '중때', '데뷔', '데뷔', '고등학교', '입학', '고이', '중때', '이서', '아이브', '데뷔', '이서', '올해', '년차', '고이', '데뷔', '진짜', '아이브', '콘서트', '투어', '정산', '지금', '껀데', '이서', '성인', '기전', '벌써', '음방', '연말', '수상', '대상', '타고', '연봉', '인맥', '아이돌', '인맥', '아이돌', '서울대', '아이돌', '서울대', '졸업', '졸업생', '대초', '중반', '아이돌', '성공', '서울대', '연봉', '증명', '증명', '분야', '때문', '단순', '비교', '수익']"
bltjk6NfDQM,
bltjk6NfDQM,['아저씨']
bltjk6NfDQM,
bltjk6NfDQM,['진짜']
bltjk6NfDQM,['이서']
bltjk6NfDQM,"['데뷔초', '장원영']"
bltjk6NfDQM,"['제일', '좋았늠']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['우리', '애기', '전부']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['원영', '사랑']"
bltjk6NfDQM,"['전설', '머리', '리즈', '탄생']"
bltjk6NfDQM,"['전이', '지금', '전설']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['태권도', '차안', '노래', '그때', '노래']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['매니저', '아이브', '매일']"
bltjk6NfDQM,['사람']
bltjk6NfDQM,
bltjk6NfDQM,"['아이브', '활동', '방송', '무대', '무대', '레전드']"
bltjk6NfDQM,
bltjk6NfDQM,"['케이팝', '역사상', '데뷔', '무대', '비주', '충격', '무대', '위인']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['일레븐', '제일']"
bltjk6NfDQM,
bltjk6NfDQM,"['동선', '진짜', '존경', '발줌', '사실', '멤버']"
bltjk6NfDQM,
bltjk6NfDQM,"['리즈', '다른', '멤버']"
bltjk6NfDQM,
bltjk6NfDQM,"['전설', '이설', '코앞', '줌샷']"
bltjk6NfDQM,['뮤직비디오']
bltjk6NfDQM,"['리즈', '썸네일']"
bltjk6NfDQM,['사랑']
bltjk6NfDQM,
bltjk6NfDQM,"['일래', '뮤비', '처음', '충격']"
bltjk6NfDQM,"['감독', '진심', '리스', '펙트', '아이브', '마스터', '촬영', '느낌', '프로', '정신', '드네', '뭉클', '감동', '보너스', '방송국', '사장']"
bltjk6NfDQM,"['레이', '아이브']"
bltjk6NfDQM,
bltjk6NfDQM,"['장원영', '사랑']"
bltjk6NfDQM,
bltjk6NfDQM,"['감독', '멤버', '임개', '쩐다']"
bltjk6NfDQM,"['이서', '얼빡샷', '궈여웡']"
bltjk6NfDQM,"['무대', '회전목마', '조명', '분위기', '투어', '라이브', '실력', '진짜', '헤메', '의상', '의상', '가을', '크라운', '리즈', '염소', '머리띠', '레이', '토끼', '모자', '이서', '머리색', '원영', '금발', '깜짝선물', '유진', '레드', '브라운', '말모', '일렬', '대형', '웅장', '엔딩', '포즈', '무임', '종합', '선물', '세트']"
bltjk6NfDQM,
bltjk6NfDQM,['띠용']
bltjk6NfDQM,"['진짜', '감탄', '노래', '진심']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '원영']"
bltjk6NfDQM,
bltjk6NfDQM,['아이브']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['체포', '유죄', '인간', '신고', '햇습니']"
bltjk6NfDQM,['쩐다']
bltjk6NfDQM,"['가을', '파트', '별로']"
bltjk6NfDQM,['진짜']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
