,keywords
T_gJpnjJsnk,"['아니다', '사람', '영원하다', '레이브', '각자', '서사', '숨기', '당당하다', '성공하다', '도움', '생각', '버추', '하나', '타격', '영영', '진짜', '가사', '이해', '절대로', '비난']"
T_gJpnjJsnk,
T_gJpnjJsnk,['좋다']
T_gJpnjJsnk,"['국가', '어떻다', '데뷔', '어떻다', '데뷔', '자체', '제작', '심지어', '안무', '요지', '플하', '사랑']"
T_gJpnjJsnk,"['있다', '데뷔', '가사', '그때', '멤버', '간절하다', '마음', '갑자기']"
T_gJpnjJsnk,['근본']
T_gJpnjJsnk,"['갑자기', '혼자', '벅차오르다', '다시']"
T_gJpnjJsnk,['시작']
T_gJpnjJsnk,"['남자', '입덕', '없다', '진짜']"
T_gJpnjJsnk,"['목소리', '데뷔', '지금', '변하다', '없다', '음방', '무대', '진짜', '무슨', '마음', '입덕', '시작', '기분', '아쉽다', '지금', '있다', '행복하다']"
T_gJpnjJsnk,"['현생', '기적', '애국가']"
T_gJpnjJsnk,"['시간', '변하다', '순정', '낭만', '있다']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['누가', '성장하다', '기특하다']"
T_gJpnjJsnk,
T_gJpnjJsnk,['사랑']
T_gJpnjJsnk,"['직캠', '있다']"
T_gJpnjJsnk,"['가요대제전', '무대']"
T_gJpnjJsnk,"['아국', '진짜', '감동', '언제', '어도']"
T_gJpnjJsnk,"['음중', '플리', '안녕', '플리', '응원', '없다', '노래', '쓸쓸하다', '응원', '있다', '다행', '응원', '사랑', '레이브']"
T_gJpnjJsnk,"['플리', '알고리즘', '발견', '헤헤']"
T_gJpnjJsnk,"['노래', '미치다', '안무', '미치다', '미모', '미치다', '무대', '연출', '미치다', '진짜', '배속', '밤비', '미모', '한번', '맏형', '하트', '노아', '예준', '시선']"
T_gJpnjJsnk,"['어떻다', '데뷔', '수록', '픽셀', '월드', '진짜', '갈고', '제일', '좋다', '노래', '제일', '좋다', '안무', '데뷔', '마음', '벅차오르다']"
T_gJpnjJsnk,"['제대로', '인생', '레이브', '인생']"
T_gJpnjJsnk,"['처음', '나라', '현재', '칼리', '파트']"
T_gJpnjJsnk,"['입덕', '옛날', '음중', '데뷔', '무대', '영상', '때애', '사람', '애니메이션', '같다', '원망', '스럽다', '연습생', '아쉽다', '감상', '영상', '볼떄', '플브', '한지', '차갑다', '종종', '아쉬움', '마지막']"
T_gJpnjJsnk,['그렇다']
T_gJpnjJsnk,['순정']
