,nouns
EYG4ROejmyI,"['얼굴', '천재', '은수', '레이브', '영광', '볼륨']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['티비', '라이브', '기분']"
EYG4ROejmyI,"['처음', '레이브', '거부', '노래', '응원']"
EYG4ROejmyI,
EYG4ROejmyI,['노래']
EYG4ROejmyI,
EYG4ROejmyI,"['진짜', '천재']"
EYG4ROejmyI,
EYG4ROejmyI,['티비']
EYG4ROejmyI,"['노래', '레이브', '진짜']"
EYG4ROejmyI,"['매번', '노래', '모든', '순간', '진짜', '대박', '노래', '검색', '감금']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['레이브', '진짜', '생각', '무슨', '과거', '명곡', '리메이크', '완전', '리지', '날로']"
EYG4ROejmyI,"['진짜', '홍시', '얼마나', '편곡', '연출', '헤메', '무대', '세트', '카메라', '무빙', '보컬', '시선', '처리', '심지어', '다시', '음원', '그게', '음원']"
EYG4ROejmyI,"['노래', '진정', '레이브']"
EYG4ROejmyI,"['웨이포럽', '레이브']"
EYG4ROejmyI,"['년도', '크리스마스', '더욱', '역시', '사랑', '자랑', '아이돌']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['무대', '경험', '시선', '처리']"
EYG4ROejmyI,
EYG4ROejmyI,"['고개', '봉구']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '반성']"
EYG4ROejmyI,['사랑']
EYG4ROejmyI,['사랑']
EYG4ROejmyI,"['마지막', '아저씨', '머리', '자고', '머리카락']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['인생', '내내']"
EYG4ROejmyI,"['우리', '레이브', '오빠', '사랑', '아자스']"
EYG4ROejmyI,"['세계', '아이돌', '레이브', '대한민국', '최강', '버츄얼', '아이돌']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['사랑', '레이브', '레이브', '레이브']"
EYG4ROejmyI,
EYG4ROejmyI,['줗다']
EYG4ROejmyI,['진짜']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['레이브', '사랑']"
EYG4ROejmyI,"['머리', '도은호']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['명곡']
EYG4ROejmyI,
EYG4ROejmyI,"['돌이', '버라페때', '관심', '입덕', '화이팅']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['사랑', '학업', '모든', '그때', '행복', '걸음', '여러분', '목표', '무엇', '용기', '도전', '시간', '어려움', '더욱', '미래']"
EYG4ROejmyI,['쥬타쥬타']
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '처음', '레이브', '노래', '충격', '기억', '노래', '대부분', '레이브', '응원']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['다시', '도입', '은호', '음색', '진짜', '학교', '축제', '고백', '청춘', '느낌']"
EYG4ROejmyI,"['노래', '과정', '결과물', '노래']"
EYG4ROejmyI,"['엄마', '천재']"
EYG4ROejmyI,
EYG4ROejmyI,['예준']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['노아', '피아노', '개졸귀']"
EYG4ROejmyI,['완전']
EYG4ROejmyI,
EYG4ROejmyI,"['레이브', '웨이포럽', '충격']"
EYG4ROejmyI,"['언제', '진짜']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['레이브']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['형즐', '진짜']"
EYG4ROejmyI,"['레이브', '노래', '요즘', '한국', '노래', '영어', '노래', '흠흥음흥', '뭉개', '레이브', '한국어', '쉬움']"
EYG4ROejmyI,
EYG4ROejmyI,"['고민', '중독', '여자친구', '느낌']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['사람', '하나', '레이브']"
EYG4ROejmyI,"['번역', '가장', '한국어', '가사']"
EYG4ROejmyI,
EYG4ROejmyI,['티비']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['도은호', '유하', '노아', '남예준', '밤비']"
EYG4ROejmyI,"['사랑', '플레브']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['펌프', '볼륨', '고민', '중독', '남자', '버전']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['오빠']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['노래']
EYG4ROejmyI,
EYG4ROejmyI,"['레이브', '본격', '벌써', '전이']"
EYG4ROejmyI,['노래']
EYG4ROejmyI,"['노래', '누구', '노래', '입덕', '부정', '서사', '방송', '밤새', '자연']"
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '기분', '항상', '에너지', '음악']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['오늘이', '펌펍볼', '주년', '달전']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
