,nouns
8L001YT4k6k,
8L001YT4k6k,"['진심', '멜로디', '사기']"
8L001YT4k6k,"['헐랭', '님들', '키티', '하미', '생일']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['하진', '두꺼비', '딸칵', '얘기', '패죽', '존나', '사랑', '진짜']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['듣기', '해도', '기분', '귀염뽀짝', '가사', '멜로디', '안무', '뮤비']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['우주', '마주']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['여기', '부분', '노아', '파트', '스타일']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['뮤비', '노래', '캐릭터', '레이브', '뮤비', '느낌', '포근', '느낌', '노래', '중독', '하루', '번은', '인형', '앨범', '가지', '용돈', '누가', '누가']"
8L001YT4k6k,"['대쉬', '뽀짝해']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['화이팅']
8L001YT4k6k,['쥬타쥬타']
8L001YT4k6k,"['지금', '여자애', '인형', '풀셋']"
8L001YT4k6k,"['처음', '양갈래', '여자', '캐릭터', '혹시', '저번', '플리']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['노아', '얼굴', '공격', '잠시', '심장']"
8L001YT4k6k,"['유하', '민제', '평생', '애기']"
8L001YT4k6k,
8L001YT4k6k,"['이제', '칼리', '레이브', '산다', '정말', '사랑']"
8L001YT4k6k,
8L001YT4k6k,"['이보', '노래']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['귀염뽀짝', '다섯', '외계', '사랑']"
8L001YT4k6k,"['레이브', '신곡', '영상']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['뿌우붐']
8L001YT4k6k,
8L001YT4k6k,"['이분', '노래', '목소리', '파동', '듣기', '계속']"
8L001YT4k6k,['색감']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['오늘']
8L001YT4k6k,
8L001YT4k6k,['뿌우']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['새해', '아침']"
8L001YT4k6k,"['새해', '레이브', '플리', '모두', '새해']"
8L001YT4k6k,"['새해', '사랑']"
8L001YT4k6k,"['새해', '노래', '올해', '부탁']"
8L001YT4k6k,['새해']
8L001YT4k6k,
8L001YT4k6k,"['올해', '선물', '뿌우', '보기', '내년', '플하']"
8L001YT4k6k,"['노래', '다음', '노래', '응원']"
8L001YT4k6k,
8L001YT4k6k,"['사람', '음악', '캐릭터', '레이브']"
8L001YT4k6k,['진짜']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['회수', '무슨', '일이', '조만간', '뿌우', '역시', '세상', '지배']"
8L001YT4k6k,"['노밤', '레이브', '사랑']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['매일', '보아', '플리', '사랑', '노래', '멜로디', '가사', '그냥', '그냥', '노래']"
8L001YT4k6k,"['노래', '하루', '종일', '찾았슨', '다른', '거치', '마주', '노래', '사랑']"
8L001YT4k6k,"['뮤비', '회수', '이제', '거의', '만이', '플리', '여러분']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['레이브', '노래', '진짜']"
8L001YT4k6k,['뿌우']
8L001YT4k6k,"['우의', '노래', '행복']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['갑자기', '호가', '사랑', '이유', '화면', '플리', '갑자기', '레이브', '생각', '꿀잠', '플리', '생각', '심장', '호가', '사랑', '매일', '목마', '자랑', '가수', '남예준', '최고', '노아', '최고', '봉구', '최고', '도은호', '최고', '유하', '최고', '사랑', '이마', '가수', '자랑']"
8L001YT4k6k,
8L001YT4k6k,['뿌우']
8L001YT4k6k,"['악동뮤지션', '러브']"
8L001YT4k6k,
8L001YT4k6k,"['라이즈', '은석', '추천', '마음', '추천', '브리', '감동', '플리', '이자', '브리', '보넥도', '반응', '연말', '남자', '모두', '화이팅']"
8L001YT4k6k,
8L001YT4k6k,"['추천', '가티']"
8L001YT4k6k,
8L001YT4k6k,['쁠리']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['보러왔뿌우']
8L001YT4k6k,
8L001YT4k6k,"['오늘', '무대', '정말', '감탄', '동시', '노래', '레이브', '무한', '뵥뵥뵥']"
8L001YT4k6k,
8L001YT4k6k,"['해외', '리리', '투표', '참여', '뮤비', '조회', '시청', '수가', '반영', '마음', '응원', '레이브', '화이팅']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['느낌', '노래']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['모든', '요소']"
8L001YT4k6k,"['빌보드', '코리아', '빌보드', '글로벌', '축하']"
8L001YT4k6k,
8L001YT4k6k,"['은호', '사마', '기념', '듣기']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['노래']
8L001YT4k6k,
8L001YT4k6k,"['오늘', '충전']"
8L001YT4k6k,"['노래', '노래방', '돌이', '사랑', '이유']"
8L001YT4k6k,"['이미지', '조카', '뮤비', '영어', '공부', '글공부', '이모', '합법', '덕질', '애기', '공부', '일석이조', '나이', '세이']"
8L001YT4k6k,"['색감', '산리오', '콜라보', '진짜', '뮤비', '때깔', '인정']"
8L001YT4k6k,"['저번', '레이브', '노래', '산책', '다가', '신곡', '정도', '로만', '생각', '후렴', '영어', '일본어', '중국어', '천재', '감탄']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['리즈', '주문', '뭔가', '죄책감']"
8L001YT4k6k,['노래']
8L001YT4k6k,"['밤비야', '마지막', '윙크', '아아']"
8L001YT4k6k,"['진짜', '노래', '눈길']"
8L001YT4k6k,
8L001YT4k6k,"['레알', '레이브', '노래', '데뷔', '가게', '정도']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['아따', '노래', '구마']"
8L001YT4k6k,"['카페', '화면', '부분', '진짜']"
8L001YT4k6k,
8L001YT4k6k,['진짜']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['캐롤', '버전', '오늘', '깜짝선물']"
8L001YT4k6k,"['조합', '알약', '잠도']"
8L001YT4k6k,"['밤비', '얼빡']"
8L001YT4k6k,
8L001YT4k6k,"['레이브', '중학생', '저희', '학교', '점심시간', '노래', '오늘', '학교', '노래', '육성', '소리', '한번', '플리']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['귀요미']
8L001YT4k6k,
8L001YT4k6k,"['편의', '애니메이션', '그냥']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['노래', '스타', '일임', '레이브', '관심', '노래', '진짜', '호감', '돌이']"
8L001YT4k6k,
8L001YT4k6k,"['이불', '딩굴딩굴', '기분']"
8L001YT4k6k,"['이번', '구려']"
8L001YT4k6k,
8L001YT4k6k,['모든']
8L001YT4k6k,
8L001YT4k6k,"['본격', '플리', '데뷔', '레이브']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['신한', '사랑', '노래', '마음', '기분', '행복', '레이브']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['노래', '하급', '수로', '마음', '다시', '재생', '빈도', '수가', '처음', '자주']"
8L001YT4k6k,"['노래', '지금', '시즌', '연말', '노래']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['미국', '말장난', '가사', '세븐']"
8L001YT4k6k,
8L001YT4k6k,"['타팬', '레이브', '응원', '얼굴', '지다', '행동', '여우', '등교', '사랑', '이유', '은호', '밤비', '예준', '노아', '화이팅', '비밀', '최애', '늑대', '성격', '멍뭉이']"
8L001YT4k6k,['플브']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['조카', '당신', '음악', '계속', '음악']"
8L001YT4k6k,"['콘서트', '응원', '무의식', '사람']"
8L001YT4k6k,
8L001YT4k6k,"['웃음', '오늘']"
8L001YT4k6k,
8L001YT4k6k,['힐링']
8L001YT4k6k,"['노래', '노래', '한국어', '공부']"
8L001YT4k6k,
8L001YT4k6k,['노래']
8L001YT4k6k,"['노래', '중독', '이제']"
8L001YT4k6k,
8L001YT4k6k,"['진짜', '기여', '워유']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['플리', '공주', '자비', '머리']"
8L001YT4k6k,
8L001YT4k6k,"['노래', '라베', '느낌', '노래']"
8L001YT4k6k,"['천사', '플리']"
8L001YT4k6k,"['수능', '금지곡', '수준', '중독', '노래', '일이삼사오육']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['김하은']
8L001YT4k6k,['사랑']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['듣기', '해도', '마음', '구름', '기분']"
8L001YT4k6k,"['오늘', '귀가', '뿌우', '레이브', '양제']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['오늘']
8L001YT4k6k,['하민이']
8L001YT4k6k,
8L001YT4k6k,['웰케']
8L001YT4k6k,"['진짜', '노래', '고통', '노래', '실력', '레전드']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['기분', '노래']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['노래', '진짜', '질리', '기분', '계속', '리스닝', '런가', '대의', '명곡']"
8L001YT4k6k,"['노래', '개오지']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['아무', '기분']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['너희', '사랑']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['레이브', '뮤비', '공약', '엊그제', '일전', '노래', '기본', '만회', '진짜', '레이브', '존경']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['오늘', '비타민', '플레브', '노래', '중독', '자동', '다시', '재생']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,['뿌딩이들']
8L001YT4k6k,['사랑']
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['레이브', '일상']"
8L001YT4k6k,"['팬송', '노래', '커리어', '먼저', '생각']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['처음', '명곡']"
8L001YT4k6k,['노래']
8L001YT4k6k,"['진짜', '여울', '일이', '사랑']"
8L001YT4k6k,
8L001YT4k6k,"['처음', '감동', '수가', '음악', '멤버', '매력', '마음', '응원']"
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,
8L001YT4k6k,"['뿌잉', '뿌잉']"
8L001YT4k6k,
8L001YT4k6k,"['레이브', '노래', '취향', '취향']"
8L001YT4k6k,
