,keywords
3_b5oKGndn0,"['브리', '느낌']"
3_b5oKGndn0,
3_b5oKGndn0,['컨셉']
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,['원빈']
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,['다시']
3_b5oKGndn0,['이쁘다']
3_b5oKGndn0,"['라이즈', '주년', '축하', '라이즈', '브리']"
3_b5oKGndn0,['좋다']
3_b5oKGndn0,"['쇼타', '개귀여웤']"
3_b5oKGndn0,['이쁘다']
3_b5oKGndn0,['승또']
3_b5oKGndn0,
3_b5oKGndn0,"['진심', '아니다']"
3_b5oKGndn0,"['앤톤', '이의', '성장']"
3_b5oKGndn0,"['멕시코', '슴콘보']"
3_b5oKGndn0,
3_b5oKGndn0,"['아주', '정성', '한번', '데뷔', '해봣다', '부리', '죽금']"
3_b5oKGndn0,
3_b5oKGndn0,"['아니다', '미치다', '송은석', '얼굴']"
3_b5oKGndn0,
3_b5oKGndn0,"['솔직하다', '라이즈', '컨셉', '그리움', '어스', '같다', '대의', '청량컨셉', '아니다', '대의', '청량', '좋다']"
3_b5oKGndn0,['무대']
3_b5oKGndn0,['느좋']
3_b5oKGndn0,['미안하다']
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['다시', '시작', '하자']"
3_b5oKGndn0,['브리']
3_b5oKGndn0,['우리']
3_b5oKGndn0,"['송은석', '잘생기다']"
3_b5oKGndn0,"['언급', '오신']"
3_b5oKGndn0,"['소희', '활짝', '얼굴', '입덕', '귀엽다', '한딩']"
3_b5oKGndn0,"['다시', '소히', '귀엽다']"
3_b5oKGndn0,"['옘병', '귀엽다', '때문', '오늘', '사망']"
3_b5oKGndn0,['귀엽다']
3_b5oKGndn0,['귀엽다']
3_b5oKGndn0,['브리']
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['오늘', '관왕', '라이즈', '데뷔', '무대', '초심', '잡고', '멀리', '멀리', '화이팅', '라이즈']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,['애긔']
3_b5oKGndn0,"['쇼타', '귀엽다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['라이즈', '데뷔', '머리', '애매하다', '바가지', '머리']"
3_b5oKGndn0,
3_b5oKGndn0,"['아우', '덕질']"
3_b5oKGndn0,"['무대', '진짜', '레전드', '다시', '원빈', '도입', '미치다', '이렇다', '달란트']"
3_b5oKGndn0,"['년전', '진짜', '애기', '같넼']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,['라이즈']
3_b5oKGndn0,
3_b5oKGndn0,['브리']
3_b5oKGndn0,
3_b5oKGndn0,"['세트', '대박']"
3_b5oKGndn0,"['소희', '대체', '어떻다']"
3_b5oKGndn0,
3_b5oKGndn0,"['소희', '예쁘다', '미소천사']"
3_b5oKGndn0,"['공개', '무대', '라이브', '멋지다', '멤버', '별로', '선도', '보컬', '좋다', '그룹', '같다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['차니', '연기', '진짜', '귀엽다']"
3_b5oKGndn0,['성찬']
3_b5oKGndn0,"['아니다', '도대체', '어쩌', '무대']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['미췬', '초반', '졸귀']"
3_b5oKGndn0,"['샤이니', '밸런스', '좋다', '좋다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['아니다', '무대', '예쁘다', '진짜']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['원빈', '피곤하다', '입술', '포진', '원빈', '아프다']"
3_b5oKGndn0,['라이즈']
3_b5oKGndn0,"['노래', '좋다', '잘생기다', '흐뭇다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,['라이즈']
3_b5oKGndn0,"['성찬', '핑킹가위', '머리', '존잘']"
3_b5oKGndn0,"['원빈', '시작', '얼굴', '공격', '장난없다']"
3_b5oKGndn0,"['얼마나', '연습', '대단하다']"
3_b5oKGndn0,['라이브']
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['미모', '나라', '구한']"
3_b5oKGndn0,
3_b5oKGndn0,"['스엠', '매각', '프로듀서', '누구', '느낌']"
3_b5oKGndn0,"['역시', '스엠']"
3_b5oKGndn0,
3_b5oKGndn0,"['아유', '있다']"
3_b5oKGndn0,
3_b5oKGndn0,"['처음', '봣는데', '댓글', '원빈', '생겻']"
3_b5oKGndn0,"['노래', '샤이니', '태도', '같다', '뭔가', '비슷하다', '아이돌', '같다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['은석', '존잘']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['잘생기다', '고맙다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['강하늘', '노래', '원빈']"
3_b5oKGndn0,"['소희', '진짜', '구이']"
3_b5oKGndn0,"['데뷔', '무대', '라이브', '안정']"
3_b5oKGndn0,"['데뷔', '축하', '우리', '라이즈', '베이비']"
3_b5oKGndn0,"['무대', '진짜']"
3_b5oKGndn0,
3_b5oKGndn0,"['새롭다', '보이', '그룹', '탄생', '축하', '매력', '보이스', '좋다', '실력', '비쥬', '라이즈', '응원']"
3_b5oKGndn0,
3_b5oKGndn0,['원빈']
3_b5oKGndn0,"['영상', '진짜', '개졸귀']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['신인', '신인', '긴장', '가나', '릴댄', '반도']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['매번', '치명', '인척', '아이돌', '대안', '라이즈', '증말', '라이즈', '일곱', '이름', '한번', '라이즈', '무한', '덕질', '이다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['제대로', '남돌']"
3_b5oKGndn0,['비쥬']
3_b5oKGndn0,"['아니다', '쇼타', '이렇다', '비싸다', '일본', '잘생기다', '멋지다', '한국', '많다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['다시', '흑역사', '장난', '모습', '상상']"
3_b5oKGndn0,"['재밌다', '재밌다']"
3_b5oKGndn0,
3_b5oKGndn0,"['원빈', '민지', '남자', '버전', '같다', '미남', '알럽부']"
3_b5oKGndn0,
3_b5oKGndn0,"['무대', '구성', '좋다']"
3_b5oKGndn0,"['쇼타', '역시']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['소희', '귀엽다']"
3_b5oKGndn0,"['잘생기다', '햇누']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['의상', '마음', '전반', '약간', '겨울', '성인', '이유', '설명']"
3_b5oKGndn0,"['무대', '세트', '이쁘다', '대박']"
3_b5oKGndn0,
3_b5oKGndn0,"['원빈', '약간', '뉴진스', '민지', '느낌']"
3_b5oKGndn0,"['타이틀', '좋다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['머리카락', '어떻다', '잘생기다', '얼굴']"
3_b5oKGndn0,
3_b5oKGndn0,"['응원', '법도', '예쁘다', '목소리', '무대']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['기타', '댄스', '인상', '깊다', '예쁘다']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['여러분', '멋지다', '노래', '스트리밍']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['진짜', '원빈', '잘생기다']"
3_b5oKGndn0,
3_b5oKGndn0,"['일단', '노래', '매일', '좋다', '영상', '보기', '해도', '행복하다', '매일', '매일', '행복하다', '진심', '고마']"
3_b5oKGndn0,
3_b5oKGndn0,
3_b5oKGndn0,"['쇼타', '존잘', '귀엽다', '성찬', '모해', '멀다', '해도', '잘생기다', '피지', '원빈', '스엠', '남상', '계보', '세대', '꽃미남', '은석', '키크', '잘생기다', '염색', '어둡다', '해조', '찬영', '청순']"
3_b5oKGndn0,
