,keywords
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,"['레알', '커리어', '하이', '진심', '라이즈', '노래', '쓰리다', '좋다']"
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,"['어떻다', '멤버', '잘생기다', '노래']"
TVqEwvbZP30,
TVqEwvbZP30,"['성찬', '붐붐붐', '부분', '좋다']"
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,"['좋다', '좋다', '아무', '관심', '없다', '느낌', '좋다']"
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,"['원빈', '악감', '정이', '있다', '아니다', '채널', '섬네일', '비중', '한쪽', '같다', '아쉽다', '섬네일', '원빈', '같다', '다른', '멤버', '메인', '성찬', '쇼타', '같다', '멤버', '매력', '좋다', '언제', '주인공', '있다', '병풍', '역할', '거임', '개인', '원샷', '좋다']"
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,"['타팬', '핑블', '다시', '시작', '페임', '무조건', '좋다', '진짜']"
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
TVqEwvbZP30,
