"Time","플레이브","라이즈","이세계아이돌","IVE"
"2020-12-01",0,0,0,0
"2021-01-01",0,0,0,0
"2021-02-01",0,0,0,0
"2021-03-01",0,0,0,0
"2021-04-01",0,0,0,0
"2021-05-01",0,0,0,0
"2021-06-01",0,0,0,0
"2021-07-01",0,0,0,0
"2021-08-01",0,0,0,0
"2021-09-01",0,0,0,0
"2021-10-01",0,0,0,0
"2021-11-01",0,0,0,5
"2021-12-01",0,0,0,59
"2022-01-01",0,0,2,32
"2022-02-01",0,0,6,22
"2022-03-01",0,0,9,15
"2022-04-01",0,0,9,46
"2022-05-01",0,0,9,35
"2022-06-01",0,0,29,39
"2022-07-01",0,0,31,42
"2022-08-01",0,0,31,77
"2022-09-01",0,0,40,100
"2022-10-01",0,0,39,81
"2022-11-01",0,0,34,77
"2022-12-01",0,0,37,77
"2023-01-01",0,0,35,84
"2023-02-01",0,0,37,60
"2023-03-01",0,0,26,45
"2023-04-01",0,0,24,97
"2023-05-01",0,0,20,67
"2023-06-01",0,0,25,46
"2023-07-01",0,0,22,43
"2023-08-01",0,3,34,44
"2023-09-01",1,13,50,40
"2023-10-01",4,22,42,55
"2023-11-01",14,32,29,43
"2023-12-01",17,32,25,44
"2024-01-01",12,44,27,38
"2024-02-01",21,34,28,36
"2024-03-01",36,37,22,33
"2024-04-01",29,28,21,39
"2024-05-01",19,22,26,55
"2024-06-01",16,24,21,34
"2024-07-01",14,22,18,32
"2024-08-01",19,18,20,34
"2024-09-01",19,23,20,32
"2024-10-01",20,37,21,30
"2024-11-01",23,26,19,30
"2024-12-01",26,24,23,32
"2025-01-01",25,25,24,43
"2025-02-01",58,21,21,52
"2025-03-01",31,19,43,33
"2025-04-01",17,15,37,30
"2025-05-01",19,29,28,27
"2025-06-01",19,24,25,29
"2025-07-01",15,27,21,34
"2025-08-01",22,27,23,37
"2025-09-01",24,23,16,35
"2025-10-01",16,22,17,31
"2025-11-01",20,21,22,33
"2025-12-01",13,18,12,28
"2026-01-01",12,17,10,30
