,keywords
qOB5sIujPH8,
qOB5sIujPH8,"['트윗', '사람', '아니다', '조롱']"
qOB5sIujPH8,"['솔직하다', '응원']"
qOB5sIujPH8,"['서현', '팬덤', '케이팝', '팬덤', '공공', '업보', '없다']"
qOB5sIujPH8,"['아니다', '버츄얼', '플레이', '듣보잡', '스텔라', '이브', '근본', '근본']"
qOB5sIujPH8,['알고리즘']
qOB5sIujPH8,"['자기', '재밌다', '같다', '진짜', '기절']"
qOB5sIujPH8,"['타팬', '조롱']"
qOB5sIujPH8,['재밌다']
qOB5sIujPH8,"['아니다', '조롱', '정병', '어그']"
qOB5sIujPH8,"['인스타', '이렇다', '댓글', '있다', '사운드', '모음', '차단', '기키', '소리', '콘센트', '꼽는', '소리', '컴퓨터', '데이터', '소리', '시발', '매니저', '실수', '데이', '삭제', '소리', '위이잉키', '소리', '씹덕', '응원', '소리', '공연', '오빠', '배터리', '소리', '철거', '차단기', '공연', '소리']"
qOB5sIujPH8,"['조롱', '재밌다', '대체', '노래', '멋있다', '버츄얼', '부자연스럽다', '기술']"
qOB5sIujPH8,"['광야', '있다', '어떻다', '오빠', '순간이동', '도도', '어떻다', '언냐', '로켓', '펀처임']"
qOB5sIujPH8,"['누구', '해커', '저기', '있다', '있다']"
qOB5sIujPH8,['엑소']
qOB5sIujPH8,"['광야', '자만', '이름', '쎄다', '돌이', '슈퍼맨', '여럿', '있다']"
qOB5sIujPH8,"['스파이', '사랑']"
qOB5sIujPH8,"['카리나', '로켓', '펀쳐', '윈터', '지젤', '제노글로시', '닝닝', '해커']"
qOB5sIujPH8,"['에스', '하늘', '기본', '발사', '진심', '하늘', '기본']"
qOB5sIujPH8,"['와이어', '전문']"
qOB5sIujPH8,
qOB5sIujPH8,"['물든', '순간', '민정', '최고다']"
qOB5sIujPH8,"['그렇다', '어인', '있다']"
qOB5sIujPH8,"['벌레', '야채', '인간', '버츄얼', '말씀', '나이비스', '있다']"
qOB5sIujPH8,"['좋아하다', '자기', '좋아하다', '사람', '응원', '서로', '예의']"
qOB5sIujPH8,"['날수', '없다', '좋아하다', '자기', '다리', '아저씨', '버츄', '좋아하다', '한가지', '차라리', '진짜', '예쁘다', '잘생기다', '사람', '우상화', '좋아하다', '나으니', '낫다', '외모', '상주', '매력', '있다', '버츄얼', '성공하다']"
qOB5sIujPH8,"['다리', '아저씨', '여자', '보장', '있다', '서로', '죤내', '어색하다']"
qOB5sIujPH8,"['실제', '시간', '있다', '리노', '있다']"
qOB5sIujPH8,"['좋아하다', '정상']"
qOB5sIujPH8,"['학교', '좋아하다', '뭔가', '결함', '있다']"
