동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@gangster_rabbit,플리: 이렇게까지 빠질 줄 몰랐던 사람들의 모임,2279,2024-09-27T13:02:05Z,28,Ugx3OP5SRf9q55dEXBJ4AaABAg,OT6uElfCI7o,UC_jbAKSpYBfUlaXCcJi691A,2024-09-27T13:02:05Z,,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@JUNI-love,악ㅋㅋ😂제가 뮤비에 썼던 댓글ㅋㅋ 근데 저도 딴데서 본거긴해요ㅋㅋㅋ,39,2024-09-27T14:19:50Z,0,Ugx3OP5SRf9q55dEXBJ4AaABAg.A8tUUGptmYzA8tcNhqtiP4,OT6uElfCI7o,UCS5H3ndGB5g16pwbyu6lHEg,2024-09-27T14:19:50Z,Ugx3OP5SRf9q55dEXBJ4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@아현-v6z,입덕 부정기 그런거 없이 그냥 영상 연속으로 다 보고 나니 '어 나 플레이브 좋아하네..? 나 플리 됬넹ㅎㅎ' 이럼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,40,2024-09-27T14:24:27Z,0,Ugx3OP5SRf9q55dEXBJ4AaABAg.A8tUUGptmYzA8tcuZ_Hfq6,OT6uElfCI7o,UC7X028n8VsO1FWcnTF4h-XA,2024-09-27T14:24:27Z,Ugx3OP5SRf9q55dEXBJ4AaABAg,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@gangster_rabbit,@JUNI-love 제가 그 댓글보고 '응? 난 안빠질자신잇는데 ㅋㅋ' 하고 한 영상 다섯개만에 입덕인정해버린 사람입니다^^🫶,21,2024-09-27T15:00:02Z,0,Ugx3OP5SRf9q55dEXBJ4AaABAg.A8tUUGptmYzA8tgzA0F9II,OT6uElfCI7o,UC_jbAKSpYBfUlaXCcJi691A,2024-09-27T16:13:45Z,Ugx3OP5SRf9q55dEXBJ4AaABAg,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@설찡이,입덕 일주일만에 응원봉까지 구입할 줄 몰랐지 진짜..ㅋㅋㅋㅋ,15,2024-09-27T15:26:11Z,0,Ugx3OP5SRf9q55dEXBJ4AaABAg.A8tUUGptmYzA8tjyfrPW73,OT6uElfCI7o,UCLVrHI9rPICYxKLRlE0yKkQ,2024-09-27T15:26:11Z,Ugx3OP5SRf9q55dEXBJ4AaABAg,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@이유리-d8g,그게 나에요 ㅋㅋㅋㅋㅋㅋ 추석때 미친듯이 보다가 빠짐 ㅋㅋㅋㅋ,12,2024-09-27T15:53:53Z,0,Ugx3OP5SRf9q55dEXBJ4AaABAg.A8tUUGptmYzA8tn8b4wAwQ,OT6uElfCI7o,UCEi7SZyQDm4O1K2ZqJTFcyQ,2024-09-27T15:53:53Z,Ugx3OP5SRf9q55dEXBJ4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@쟤보단낫지의쟤,오늘 입덕해도 라방 179개 봐야하니까 서두르세요👽,680,2024-09-27T12:00:31Z,5,Ugx7AWD-pH0oc0Yy93J4AaABAg,OT6uElfCI7o,UCdpUP76f2tofoLNcH4gsXnw,2024-09-27T12:00:31Z,,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@ssmile6093,라방 몰아보다가 현실의 나 망할 뻔했짜나... 빨리빨리 드르와~,17,2024-09-28T01:47:44Z,0,Ugx7AWD-pH0oc0Yy93J4AaABAg.A8tNRIDlHOcA8ur64FG1gs,OT6uElfCI7o,UC-t-0RE-sYF5rjzmXq5qWqQ,2024-09-28T01:47:44Z,Ugx7AWD-pH0oc0Yy93J4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@뭉뭉-p2m,저 늦덕 40일차인데 자컨이나 커버곡 지루할틈 없이 내줘서 아직 라방 반이상남았어요 😂  그래서 행복합니다,0,2024-11-12T21:44:58Z,0,Ugx7AWD-pH0oc0Yy93J4AaABAg.A8tNRIDlHOcAAkrtEnefFw,OT6uElfCI7o,UCH_hIV_KtYI_6Nxx9s3lZ9g,2024-11-12T21:44:58Z,Ugx7AWD-pH0oc0Yy93J4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@바칼_미슐랭3스타,입덕 4일차가 잠을 못자고 현생이 무너지고 있읍니다,0,2025-03-06T23:20:56Z,0,Ugx7AWD-pH0oc0Yy93J4AaABAg.A8tNRIDlHOcAFL_Uqme9Dk,OT6uElfCI7o,UCsPbFkZT3NGR_Z7gUENPoAQ,2025-03-06T23:20:56Z,Ugx7AWD-pH0oc0Yy93J4AaABAg,중립
