동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,최상위 댓글,@흥분의도가니-n9j,솔직히 안나오는게 이상하긴했어ㅋㅋㅋ 88억이 옆집 개이름도아니고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2415,2024-11-27T12:34:50Z,58,Ugzwncz0gmsnJ255in14AaABAg,Av1zma6uJco,UC7UujFsIK0AEfWDnRMM0dLw,2024-11-27T12:34:50Z,,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@덕현-x5c,부끄럽다 차라리 야동을 봐라 ㅉ,0,2024-11-28T02:46:09Z,0,Ugzwncz0gmsnJ255in14AaABAg.ABLVr0sgHTTABN1HGRozpa,Av1zma6uJco,UCKk3rt9MLe1U0zDmcXWTx-g,2024-11-28T02:46:09Z,Ugzwncz0gmsnJ255in14AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@죄와벌,ㅋㅋㅋ 동덕도 54억못모았는데,307,2024-11-28T02:46:46Z,0,Ugzwncz0gmsnJ255in14AaABAg.ABLVr0sgHTTABN1Lr9Tozv,Av1zma6uJco,UCiHFDtX5rVPJmQmPX1aQQrQ,2024-11-28T02:46:46Z,Ugzwncz0gmsnJ255in14AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@더블웨하스,@죄와벌ㅋㅋㅋㅋㅋㅋ,33,2024-11-28T02:48:43Z,0,Ugzwncz0gmsnJ255in14AaABAg.ABLVr0sgHTTABN1_341oam,Av1zma6uJco,UC3seNjs8BwPfIB9AWNBVbZw,2024-11-28T02:48:43Z,Ugzwncz0gmsnJ255in14AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@이지훈-r5q,ㄹㅇㅋㅋ,8,2024-11-28T03:07:51Z,0,Ugzwncz0gmsnJ255in14AaABAg.ABLVr0sgHTTABN3lBXQj44,Av1zma6uJco,UC4IOaShfiX_AY9i8Rt9CLmg,2024-11-28T03:07:51Z,Ugzwncz0gmsnJ255in14AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@ljh0707-k,@죄와벌 감히 거지 ㄴㅕㄴ들이 우리 남성의 타쿠들을 무시하면 안되지,0,2024-11-28T03:24:06Z,0,Ugzwncz0gmsnJ255in14AaABAg.ABLVr0sgHTTABN5cBXkdU6,Av1zma6uJco,UCSYoZjJ_6V4GrRbkVCvamyA,2024-11-28T03:24:06Z,Ugzwncz0gmsnJ255in14AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,최상위 댓글,@아무거나-l7h,88억은 진짜 처음봤을때 내가 잘못봤나 싶은 금액이었지ㅋㅋㅋㅋㅋ,1469,2024-11-27T15:22:18Z,7,UgzVVc9suvC7thyvQ-14AaABAg,Av1zma6uJco,UCu_CIIgsEIbtlvp4b6itfeA,2024-11-27T15:22:18Z,,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@IamQ-q7x,왁굳형 얼마나 커버린거야....,15,2024-12-02T14:44:03Z,0,UgzVVc9suvC7thyvQ-14AaABAg.ABLo0f6muWrABYbbkTf4S2,Av1zma6uJco,UCJY7wafG-fm_3kmn18QFC4g,2024-12-02T14:44:03Z,UgzVVc9suvC7thyvQ-14AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@Mister_7519,킹아~,3,2024-12-02T23:00:23Z,0,UgzVVc9suvC7thyvQ-14AaABAg.ABLo0f6muWrABZVQ4I2F8F,Av1zma6uJco,UCSlvnfQ5dhvdNjU0IUk1q7g,2024-12-02T23:00:23Z,UgzVVc9suvC7thyvQ-14AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@GOSHi999,킹애~,2,2024-12-03T11:04:04Z,0,UgzVVc9suvC7thyvQ-14AaABAg.ABLo0f6muWrAB_nEXs0yZP,Av1zma6uJco,UCEA2vvqg0TtQZ_5QXdoeJOg,2024-12-03T11:04:04Z,UgzVVc9suvC7thyvQ-14AaABAg,중립
