동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@뚱얼-y6i,버츄얼 아이돌 나오기 전에 이미 신동이 아이돌 외모의 편견을 깨부순 장본인이긴 함.,2395,2024-12-11T08:40:19Z,25,UgwK8FVbmHrD6gPDkwJ4AaABAg,Yg_AOZjHt3M,UCWybhus4jAgJhioiG7QSIgg,2024-12-11T08:40:19Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@neverring,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,18,2024-12-11T08:57:07Z,0,UgwK8FVbmHrD6gPDkwJ4AaABAg.ABu88hrN6JLABuA3friNo2,Yg_AOZjHt3M,UCHMBvtpJGHab08MhBtwIRKA,2024-12-11T08:57:07Z,UgwK8FVbmHrD6gPDkwJ4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@bardus_radix,근데 살집이 있어서 그렇지 이목구비 못생긴 남돌은 아님,114,2024-12-14T10:54:35Z,0,UgwK8FVbmHrD6gPDkwJ4AaABAg.ABu88hrN6JLAC15tfzV7lO,Yg_AOZjHt3M,UCA4GUfzw0mjXL-wONcW206w,2024-12-14T10:54:35Z,UgwK8FVbmHrD6gPDkwJ4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@mheufj,"신동은 잘생긴편에 속해서 깨부신정도는 아님 살빼면 타 멤버조다 존잘될꺼란 소리 들어왔고 그때문에 팬도 다수. .. 

외모편견 부순건 대성이 진짜지 ㅋㅋㅋㅋㅋ.. 일말의 발전 가능성이 없는 일반인 외모...",138,2024-12-16T09:53:36Z,0,UgwK8FVbmHrD6gPDkwJ4AaABAg.ABu88hrN6JLAC68Vlryrw2,Yg_AOZjHt3M,UCYb0qbB3XiyX-iqSYLb0eOw,2024-12-16T09:53:36Z,UgwK8FVbmHrD6gPDkwJ4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@외모지상렬주의-o6t,@mheufj2222 대성은 이야 쟤는 누가 봐도 실력파구나 노래를 오지게 잘 부르거나 춤 기깔나게 추겠다는 기저가 깔렸었음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,47,2024-12-23T03:12:17Z,0,UgwK8FVbmHrD6gPDkwJ4AaABAg.ABu88hrN6JLACNS8aJYy1R,Yg_AOZjHt3M,UCkF6PC126jR_CaFcPcT-yQQ,2024-12-23T03:12:17Z,UgwK8FVbmHrD6gPDkwJ4AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@daeyeonhwng1000,신동 다이어트 했을때 잘생김 워낙 먹는걸좋아해서 근데 그몸으로 춤선이 살아있음,8,2025-01-22T04:16:56Z,0,UgwK8FVbmHrD6gPDkwJ4AaABAg.ABu88hrN6JLAD_oOLZa6BV,Yg_AOZjHt3M,UCl4-GFjOtEn4Qz4c_Cf90AA,2025-01-22T04:16:56Z,UgwK8FVbmHrD6gPDkwJ4AaABAg,긍정
버츄얼 아이돌 소신발언,피지컬갤러리,최상위 댓글,@devchan1,신동이 “그게 무슨 아이돌이냐”의 원조격이지 ㅋㅋ 결국 잘하면 인정받게 되어있다,1824,2024-12-13T01:36:34Z,22,UgznhpluTDemlpXuSX14AaABAg,Yg_AOZjHt3M,UCCEYHEXJjHN3eZ5MPNqNlEg,2024-12-13T01:36:34Z,,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@불장난-e9f,​@더나은-i5c춤 잘추잖아요 ㅋㅋ 퍼포먼스 몰빵임,71,2024-12-13T05:30:11Z,0,UgznhpluTDemlpXuSX14AaABAg.AByXEjlHY4-ABywyr_YFmb,Yg_AOZjHt3M,UC0rY0ApX_j0w8t0YQTRZnYg,2024-12-13T05:30:11Z,UgznhpluTDemlpXuSX14AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@podo-won,​@더나은-i5c춤선 개 지@림 ㅋㅋㅋㅋ,0,2024-12-22T07:19:33Z,0,UgznhpluTDemlpXuSX14AaABAg.AByXEjlHY4-ACLJdnJgP3l,Yg_AOZjHt3M,UC8f_m94msprxO1La6OA0Miw,2024-12-22T07:19:33Z,UgznhpluTDemlpXuSX14AaABAg,중립
버츄얼 아이돌 소신발언,피지컬갤러리,대댓글,@둘기비둘기-u9j,​@더나은-i5c 거울보고 똑같은질문해봐,20,2024-12-31T02:17:31Z,0,UgznhpluTDemlpXuSX14AaABAg.AByXEjlHY4-ACgxERCfvUa,Yg_AOZjHt3M,UC7EFQxDseswLr5tZRkq2TRg,2024-12-31T02:17:31Z,UgznhpluTDemlpXuSX14AaABAg,중립
