동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@SUBUSUNEWS,"※ 본 영상에 출연한 출연자를 향한 인신공격, 비난 및 비방을 담은 댓글은 삭제할 예정입니다.
출연자를 보호하기 위한 최소한의 조치이오니 구독자 여러분의 양해 부탁드립니다.
스브스뉴스는 여러분의 건강한 의견 교류를 권장합니다. 감사합니다.",3259,2023-09-28T02:02:04Z,107,Ugz4Cw6QT5ExH7VpUVV4AaABAg,S1bcy4h1mS8,UCQabORQKQRHP-iUqe-xIFvg,2023-09-28T02:02:04Z,,긍정
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@INCHEONBUS-NO.1,킹아 스브스 최고,163,2023-09-28T02:19:09Z,0,Ugz4Cw6QT5ExH7VpUVV4AaABAg.9vBSniay10u9vBUkqEk1Fu,S1bcy4h1mS8,UCOG8uHQ_f-KbM5qat7dQMrg,2023-09-28T02:19:09Z,Ugz4Cw6QT5ExH7VpUVV4AaABAg,긍정
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@l다크초코,킹애,37,2023-09-28T02:19:44Z,0,Ugz4Cw6QT5ExH7VpUVV4AaABAg.9vBSniay10u9vBUpAAkB5A,S1bcy4h1mS8,UC00LVpwmhOn3r_g42rNHdNA,2023-09-28T02:19:44Z,Ugz4Cw6QT5ExH7VpUVV4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@toptototk,오늘부터 스브스 입덕합니다,57,2023-09-28T02:20:02Z,0,Ugz4Cw6QT5ExH7VpUVV4AaABAg.9vBSniay10u9vBUrKVK-AT,S1bcy4h1mS8,UC4kofNg_8oFAsvwXbLPRtDg,2023-09-28T02:20:02Z,Ugz4Cw6QT5ExH7VpUVV4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@이상민-n7g8w,앨잴땍 네이스,27,2023-09-28T02:22:11Z,0,Ugz4Cw6QT5ExH7VpUVV4AaABAg.9vBSniay10u9vBV6B8SROe,S1bcy4h1mS8,UC6AwaRGwmYEcERojTR_ra8g,2023-09-28T02:22:11Z,Ugz4Cw6QT5ExH7VpUVV4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@리치마루-u6q,스브스 킹아,17,2023-09-28T02:24:19Z,0,Ugz4Cw6QT5ExH7VpUVV4AaABAg.9vBSniay10u9vBVLhYesb9,S1bcy4h1mS8,UCY-bVvlpPwlYqy19qQZWArg,2023-09-28T02:24:19Z,Ugz4Cw6QT5ExH7VpUVV4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@lifestyleparkoh5314,"팬들 인터뷰 보니까 소통이 핵심이네 ㅋㅋ
현실 아이돌은 소통이 힘든데 버츄얼은 매일 방송하고 커뮤니티 피드백 받아주고 등등 이러면 팬이 생길수밖에없지 재밌고",726,2024-02-23T06:35:47Z,3,UgzIMuQWrjkh0Umye7x4AaABAg,S1bcy4h1mS8,UCcAK-tUAIC6XudM4BoB6IWQ,2024-02-23T06:35:47Z,,긍정
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@user13486,하긴 아이돌들 소통이래봐야 인스타같은거뿐이니까 많아봣자 팬카페에 확률출현 같은거?,36,2024-04-14T01:34:44Z,0,UgzIMuQWrjkh0Umye7x4AaABAg.A091m5BUd85A2BorjxCwvc,S1bcy4h1mS8,UCd0hHC-n0LsEvE72_y374_w,2024-04-14T01:34:44Z,UgzIMuQWrjkh0Umye7x4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@sttens123,가장 큰 차이지 심리적인 거리감이 진짜 다른 듯,59,2024-04-16T14:33:11Z,0,UgzIMuQWrjkh0Umye7x4AaABAg.A091m5BUd85A2IMXypyBhq,S1bcy4h1mS8,UCUmtW5apDgNDTcuFOyiffLQ,2024-04-16T14:33:11Z,UgzIMuQWrjkh0Umye7x4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@bongdodo900,정확하게 보셧네요 ㅎㅎ,1,2024-11-16T04:30:23Z,0,UgzIMuQWrjkh0Umye7x4AaABAg.A091m5BUd85AAtJfF8wRtS,S1bcy4h1mS8,UCSZBWsJvFFhkOFJ7sImACpg,2024-11-16T04:30:23Z,UgzIMuQWrjkh0Umye7x4AaABAg,중립
