title,company,location,scrape_date,scrape_time,title_raw,paren_raw,title_clean,seniority,work_mode,employment_type,role_group
Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:23:55,Data Engineer/ETL Developer,,data engineer etl developer,unknown,unknown,unknown,data_engineering
2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:23:55,2702- Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,SatSure,"Bangalore Urban, Karnataka, India",2025-07-16,12:23:55,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps/Cloud Engineer,BayOne Solutions,"Bengaluru, Karnataka, India",2025-07-16,12:23:55,DevOps/Cloud Engineer,,devops cloud engineer,unknown,unknown,unknown,devops_sre
AI Developer – Immediate Joiners Only,Perimattic,"Mumbai, Maharashtra, India",2025-07-16,12:23:55,AI Developer – Immediate Joiners Only,,ai developer,unknown,unknown,unknown,ml_ai
GCP Cloud Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",2025-07-16,12:23:55,GCP Cloud Engineer,,gcp cloud engineer,unknown,unknown,unknown,cloud
Big Data Engineer (5+ Years),MindBrain,,2025-07-16,12:23:55,Big Data Engineer (5+ Years),5+ Years,big data engineer,unknown,unknown,unknown,data_engineering
Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:25:03,Data Engineer/ETL Developer,,data engineer etl developer,unknown,unknown,unknown,data_engineering
DevOps Engineer,Wipro,"Pune, Maharashtra, India",2025-07-16,12:25:03,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:25:03,2702- Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps Consultant,Coforge,"Pune, Maharashtra, India",2025-07-16,12:25:03,DevOps Consultant,,devops consultant,unknown,unknown,unknown,devops_sre
Data Engineer,SatSure,"Bangalore Urban, Karnataka, India",2025-07-16,12:25:03,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps/Cloud Engineer,BayOne Solutions,"Bengaluru, Karnataka, India",2025-07-16,12:25:03,DevOps/Cloud Engineer,,devops cloud engineer,unknown,unknown,unknown,devops_sre
Senior Data Engineer,Coforge,"Pune, Maharashtra, India",2025-07-16,12:25:03,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Data Engineer,CloudStakes Technology Pvt. Ltd.,"Hyderabad, Telangana, India",2025-07-16,12:25:03,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
GCP Cloud Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",2025-07-16,12:25:03,GCP Cloud Engineer,,gcp cloud engineer,unknown,unknown,unknown,cloud
Senior DevOps Engineer – GCP,Celestibia Solutions Pvt,"Pune, Maharashtra, India",2025-07-16,12:25:03,Senior DevOps Engineer – GCP,,senior devops engineer gcp,senior,unknown,unknown,devops_sre
Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:26:16,Data Engineer/ETL Developer,,data engineer etl developer,unknown,unknown,unknown,data_engineering
DevOps Consultant,Coforge,"Pune, Maharashtra, India",2025-07-16,12:26:16,DevOps Consultant,,devops consultant,unknown,unknown,unknown,devops_sre
Machine Learning Engineer,ThoughtSol Infotech Pvt. Ltd,"Noida, Uttar Pradesh, India",2025-07-16,12:26:16,Machine Learning Engineer,,machine learning engineer,unknown,unknown,unknown,ml_ai
DevOps Engineer,Wipro,"Pune, Maharashtra, India",2025-07-16,12:26:16,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:26:16,2702- Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
"Data Engineer - Java, ETL",Indium,"Bengaluru, Karnataka, India",2025-07-16,12:26:16,"Data Engineer - Java, ETL",,data engineer java etl,unknown,unknown,unknown,data_engineering
Data Engineer,SatSure,"Bangalore Urban, Karnataka, India",2025-07-16,12:26:16,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps/Cloud Engineer,BayOne Solutions,"Bengaluru, Karnataka, India",2025-07-16,12:26:16,DevOps/Cloud Engineer,,devops cloud engineer,unknown,unknown,unknown,devops_sre
"Azure Devops, API Mangement",People Prime Worldwide,"Hyderabad, Telangana, India",2025-07-16,12:26:16,"Azure Devops, API Mangement",,azure devops api mangement,unknown,unknown,unknown,devops_sre
GCP Cloud Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",2025-07-16,12:26:16,GCP Cloud Engineer,,gcp cloud engineer,unknown,unknown,unknown,cloud
Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:27:24,Data Engineer/ETL Developer,,data engineer etl developer,unknown,unknown,unknown,data_engineering
DevOps Engineer,Wipro,"Pune, Maharashtra, India",2025-07-16,12:27:24,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:27:24,2702- Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
"Data Engineer - Java, ETL",Indium,"Bengaluru, Karnataka, India",2025-07-16,12:27:24,"Data Engineer - Java, ETL",,data engineer java etl,unknown,unknown,unknown,data_engineering
Data Engineer,SatSure,"Bangalore Urban, Karnataka, India",2025-07-16,12:27:24,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
GCP Cloud Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",2025-07-16,12:27:24,GCP Cloud Engineer,,gcp cloud engineer,unknown,unknown,unknown,cloud
Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:28:37,Data Engineer/ETL Developer,,data engineer etl developer,unknown,unknown,unknown,data_engineering
Machine Learning Engineer – 2,HYrEzy Tech Solutions,"Bengaluru, Karnataka, India",2025-07-16,12:28:37,Machine Learning Engineer – 2,,machine learning engineer 2,unknown,unknown,unknown,ml_ai
2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:28:37,2702- Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer (MS-SQL Server),Adastra,,2025-07-16,12:28:37,Data Engineer (MS-SQL Server),MS-SQL Server,data engineer,unknown,unknown,unknown,data_engineering
Machine Learning & AI Engineer,Objectways,"Chennai, Tamil Nadu, India",2025-07-16,12:28:37,Machine Learning & AI Engineer,,machine learning ai engineer,unknown,unknown,unknown,ml_ai
Data Engineer- Snowflake,"Prudent Technologies and Consulting, Inc.","Hyderabad, Telangana, India",2025-07-16,12:28:37,Data Engineer- Snowflake,,data engineer snowflake,unknown,unknown,unknown,data_engineering
2638 - Snowflake Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:28:37,2638 - Snowflake Data Engineer,,snowflake data engineer,unknown,unknown,unknown,data_engineering
Sr Machine Learning Engineer,PayPal,"Tondiarpet, Tamil Nadu, India",2025-07-16,12:28:37,Sr Machine Learning Engineer,,sr machine learning engineer,senior,unknown,unknown,ml_ai
AI Engineers,BlueHorse Software,"Midnapore, West Bengal, India",2025-07-16,12:44:51,AI Engineers,,ai engineers,unknown,unknown,unknown,ml_ai
Senior Gen AI Engineer,Apptware,"Pune, Maharashtra, India",2025-07-16,12:44:51,Senior Gen AI Engineer,,senior gen ai engineer,senior,unknown,unknown,ml_ai
DevOps Engineer | Surveillance SRE | Senior Associate,Macquarie Group,"Hyderabad, Telangana, India",2025-07-16,12:44:51,DevOps Engineer | Surveillance SRE | Senior Associate,,devops engineer surveillance sre senior associate,senior,unknown,unknown,devops_sre
"Staff Software Engineer I (Devops, Site Reliability Engineering)",Blue Yonder,"Bengaluru East, Karnataka, India",2025-07-16,12:44:51,"Staff Software Engineer I (Devops, Site Reliability Engineering)","Devops, Site Reliability Engineering",staff software engineer i,senior,unknown,unknown,software_backend
"Data Engineer - Pyspark, AWS, AVP",NatWest Group,"Gurugram, Haryana, India",2025-07-16,12:44:51,"Data Engineer - Pyspark, AWS, AVP",,data engineer pyspark aws avp,unknown,unknown,unknown,data_engineering
"Data Engineer - Pyspark, AWS, AVP",NatWest Group,"Bengaluru, Karnataka, India",2025-07-16,12:44:51,"Data Engineer - Pyspark, AWS, AVP",,data engineer pyspark aws avp,unknown,unknown,unknown,data_engineering
DevOps Engineer | Surveillance SRE | Manager,Macquarie Group,"Hyderabad, Telangana, India",2025-07-16,12:44:51,DevOps Engineer | Surveillance SRE | Manager,,devops engineer surveillance sre manager,senior,unknown,unknown,devops_sre
"Manager_AWS DevOps Engineer_Kubernetes, Helm Chart, ArgoCD, Terraform_Bangalore",VOIS,"Pune, Maharashtra, India",2025-07-16,12:45:54,"Manager_AWS DevOps Engineer_Kubernetes, Helm Chart, ArgoCD, Terraform_Bangalore",,manager aws devops engineer kubernetes helm chart argocd terraform bangalore,unknown,unknown,unknown,devops_sre
Senior DevOps Engineer,CG-VAK Software & Exports Ltd.,"Coimbatore, Tamil Nadu, India",2025-07-16,12:45:54,Senior DevOps Engineer,,senior devops engineer,senior,unknown,unknown,devops_sre
DevOps Engineer,Wikilabs,"KA, IN",2025-07-16,12:46:57,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
GCP Data Engineer,SiGa Systems,"Pune, Maharashtra, India",2025-07-16,12:48:58,GCP Data Engineer,,gcp data engineer,unknown,unknown,unknown,data_engineering
Senior NLP Engineer,SiftHub,,2025-07-16,12:48:58,Senior NLP Engineer,,senior nlp engineer,senior,unknown,unknown,ml_ai
Oracle DevOps Fusion Technical Senior,Johnson Controls,"Bengaluru, Karnataka, India",2025-07-16,12:48:58,Oracle DevOps Fusion Technical Senior,,oracle devops fusion technical senior,senior,unknown,unknown,devops_sre
Data Engineer,Andor Tech,"Mumbai, Maharashtra, India",2025-07-16,12:51:10,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
