,title,company,location,scrape_date,scrape_time
0,Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:23:55
1,2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:23:55
2,Data Engineer,SatSure,"Bangalore Urban, Karnataka, India",2025-07-16,12:23:55
3,DevOps/Cloud Engineer,BayOne Solutions,"Bengaluru, Karnataka, India",2025-07-16,12:23:55
4,AI Developer – Immediate Joiners Only,Perimattic,"Mumbai, Maharashtra, India",2025-07-16,12:23:55
5,GCP Cloud Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",2025-07-16,12:23:55
6,Big Data Engineer (5+ Years),MindBrain,,2025-07-16,12:23:55
7,Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:25:03
8,DevOps Engineer,Wipro,"Pune, Maharashtra, India",2025-07-16,12:25:03
9,2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:25:03
10,DevOps Consultant,Coforge,"Pune, Maharashtra, India",2025-07-16,12:25:03
11,Data Engineer,SatSure,"Bangalore Urban, Karnataka, India",2025-07-16,12:25:03
12,DevOps/Cloud Engineer,BayOne Solutions,"Bengaluru, Karnataka, India",2025-07-16,12:25:03
13,Senior Data Engineer,Coforge,"Pune, Maharashtra, India",2025-07-16,12:25:03
14,Data Engineer,CloudStakes Technology Pvt. Ltd.,"Hyderabad, Telangana, India",2025-07-16,12:25:03
15,GCP Cloud Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",2025-07-16,12:25:03
16,Senior DevOps Engineer – GCP,Celestibia Solutions Pvt,"Pune, Maharashtra, India",2025-07-16,12:25:03
17,Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:26:16
18,DevOps Consultant,Coforge,"Pune, Maharashtra, India",2025-07-16,12:26:16
19,Machine Learning Engineer,ThoughtSol Infotech Pvt. Ltd,"Noida, Uttar Pradesh, India",2025-07-16,12:26:16
20,DevOps Engineer,Wipro,"Pune, Maharashtra, India",2025-07-16,12:26:16
21,2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:26:16
22,"Data Engineer - Java, ETL",Indium,"Bengaluru, Karnataka, India",2025-07-16,12:26:16
23,Data Engineer,SatSure,"Bangalore Urban, Karnataka, India",2025-07-16,12:26:16
24,DevOps/Cloud Engineer,BayOne Solutions,"Bengaluru, Karnataka, India",2025-07-16,12:26:16
25,"Azure Devops, API Mangement",People Prime Worldwide,"Hyderabad, Telangana, India",2025-07-16,12:26:16
26,GCP Cloud Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",2025-07-16,12:26:16
27,Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:27:24
28,DevOps Engineer,Wipro,"Pune, Maharashtra, India",2025-07-16,12:27:24
29,2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:27:24
30,"Data Engineer - Java, ETL",Indium,"Bengaluru, Karnataka, India",2025-07-16,12:27:24
31,Data Engineer,SatSure,"Bangalore Urban, Karnataka, India",2025-07-16,12:27:24
32,GCP Cloud Engineer,People Prime Worldwide,"Bengaluru, Karnataka, India",2025-07-16,12:27:24
33,Data Engineer/ETL Developer,Princeton IT America,"KA, IN",2025-07-16,12:28:37
34,Machine Learning Engineer – 2,HYrEzy Tech Solutions,"Bengaluru, Karnataka, India",2025-07-16,12:28:37
35,2702- Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:28:37
36,Data Engineer (MS-SQL Server),Adastra,,2025-07-16,12:28:37
37,Machine Learning & AI Engineer,Objectways,"Chennai, Tamil Nadu, India",2025-07-16,12:28:37
38,Data Engineer- Snowflake,"Prudent Technologies and Consulting, Inc.","Hyderabad, Telangana, India",2025-07-16,12:28:37
39,2638 - Snowflake Data Engineer,EXL,"Pune, Maharashtra, India",2025-07-16,12:28:37
40,Sr Machine Learning Engineer,PayPal,"Tondiarpet, Tamil Nadu, India",2025-07-16,12:28:37
41,AI Engineers,BlueHorse Software,"Midnapore, West Bengal, India",2025-07-16,12:44:51
42,Senior Gen AI Engineer,Apptware,"Pune, Maharashtra, India",2025-07-16,12:44:51
43,DevOps Engineer | Surveillance SRE | Senior Associate,Macquarie Group,"Hyderabad, Telangana, India",2025-07-16,12:44:51
44,"Staff Software Engineer I (Devops, Site Reliability Engineering)",Blue Yonder,"Bengaluru East, Karnataka, India",2025-07-16,12:44:51
45,"Data Engineer - Pyspark, AWS, AVP",NatWest Group,"Gurugram, Haryana, India",2025-07-16,12:44:51
46,"Data Engineer - Pyspark, AWS, AVP",NatWest Group,"Bengaluru, Karnataka, India",2025-07-16,12:44:51
47,DevOps Engineer | Surveillance SRE | Manager,Macquarie Group,"Hyderabad, Telangana, India",2025-07-16,12:44:51
48,"Manager_AWS DevOps Engineer_Kubernetes, Helm Chart, ArgoCD, Terraform_Bangalore",VOIS,"Pune, Maharashtra, India",2025-07-16,12:45:54
49,Senior DevOps Engineer,CG-VAK Software & Exports Ltd.,"Coimbatore, Tamil Nadu, India",2025-07-16,12:45:54
50,DevOps Engineer,Wikilabs,"KA, IN",2025-07-16,12:46:57
51,GCP Data Engineer,SiGa Systems,"Pune, Maharashtra, India",2025-07-16,12:48:58
52,Senior NLP Engineer,SiftHub,,2025-07-16,12:48:58
53,Oracle DevOps Fusion Technical Senior,Johnson Controls,"Bengaluru, Karnataka, India",2025-07-16,12:48:58
54,Data Engineer,Andor Tech,"Mumbai, Maharashtra, India",2025-07-16,12:51:10
55,Data Engineer,PayPay India,"Gurugram, Haryana, India",2025-07-16,12:51:10
56,Senior AI Engineer,Xerago,"Chennai, Tamil Nadu, India",2025-07-16,12:51:10
57,DevOps Engineer,AiSensy,"Gurugram, Haryana, India",2025-07-16,12:51:10
58,Senior  Cloud Engineer,Zenith Services Inc.,"Bengaluru, Karnataka, India",2025-07-16,12:51:10
59,Senior Data Engineer IICS- 7 years ( Immediate Joiner ),ResourceTree Global Services Pvt Ltd,"Chennai, Tamil Nadu, India",2025-07-16,12:51:10
60,Data Engineer-Python & Pyspark & GIS-Onsite Hyderabad-Long term contract,ideaHelix,"Hyderabad, Telangana, India",2025-07-16,12:52:16
61,Azure Data Engineer,Nisum,"Hyderabad, Telangana, India",2025-07-16,12:52:16
62,Data Engineer(Strong Python & Pyspark Coding),ideaHelix,"Hyderabad, Telangana, India",2025-07-16,12:53:15
63,GCP Data Engineer,SiGa Systems,"Pune, Maharashtra, India",2025-07-16,12:53:15
64,Lead Data Engineer,ClanX,"Mumbai, Maharashtra, India",2025-07-16,12:54:27
65,Lead Data Engineer – Healthcare Domain Specialist,OptimHire,"Bengaluru, Karnataka, India",2025-07-16,12:54:34
66,Data Engineer,Populace World Solutions,"Pune, Maharashtra, India",2025-07-16,13:03:22
67,Business Intelligence Developer/Data Engineer,RAPIDD Technologies,"Bengaluru, Karnataka, India",2025-07-16,13:03:22
68,Data Engineer,Vserv Infosystems Private Limited,"Noida, Uttar Pradesh, India",2025-07-16,13:03:22
69,DevOps Engineer,VLink Inc,"Noida, Uttar Pradesh, India",2025-07-16,13:03:22
70,GCP Data Engineer,SiGa Systems,,2025-07-16,13:03:22
71,Senior DevOps Engineer,Kombee,"Surat, Gujarat, India",2025-07-16,13:03:22
72,Lead Data Engineer-Python + Pyspark + AWS + GIS + Palantir-Onsite/Hyderabad,ideaHelix,"Hyderabad, Telangana, India",2025-07-16,13:03:22
73,GEN AI ENGINEER,Ascendion,"Bengaluru, Karnataka, India",2025-07-16,13:04:22
74,AI Specialist – AI Agent Development,Brand Raga,"Bengaluru, Karnataka, India",2025-07-16,13:04:22
75,Senior Machine Learning Engineer,TrueFan AI,"Gurugram, Haryana, India",2025-07-16,13:04:22
76,Cloud Engineer,Workforce247,"Ahmedabad, Gujarat, India",2025-07-16,13:07:10
77,DevOps Engineer,Webologix Ltd/ INC,"Noida, Uttar Pradesh, India",2025-07-16,13:11:28
78,Data Engineer,Prakhar Software Solutions Ltd.,"Bengaluru, Karnataka, India",2025-07-16,13:13:16
79,Data Engineer (Oracle Analytics Cloud/OCI Big Data),Leuwint Technologies,"Gurugram, Haryana, India",2025-07-16,13:13:16
80,Senior .NET Developer +Azure Devops(Mandatory) ||  10+Years(Immediate Joiners Only),Zcodia Technologies,"Chennai, Tamil Nadu, India",2025-07-16,13:13:16
81,GCP Data engineer - Contract,Gravity Infosolutions,,2025-07-16,13:13:49
82,GCP Data Engineer-Contract,Gravity Infosolutions,,2025-07-16,13:15:41
83,AI Engineer - Azure AI,Prism Cloud Consulting Inc.,,2025-07-16,13:15:50
84,Lead Data Scientist,Saarthee,"Bangalore Urban, Karnataka, India",2025-07-16,13:17:44
85,Data Engineer - GCP,Marktine Technology Solutions Pvt Ltd,,2025-07-16,13:17:44
86,Office 365 & EMS Services - Digital Cloud Engineer,Sonata Software,"Bengaluru, Karnataka, India",2025-07-16,13:19:03
87,Senior Data Engineer,Ascendion,"Hyderabad, Telangana, India",2025-07-16,13:19:03
88,AI Engineer – Autonomous Agent Developer,SpacePepper Studios,"New Delhi, Delhi, India",2025-07-16,13:19:20
89,Sr. AWS Data Engineer,Exavalu,"Kolkata, West Bengal, India",2025-07-16,13:21:14
90,"Director / Senior Director, AI Data Engineer",TP,,2025-07-16,13:23:27
91,Data Engineer II /Sr Data Engineer,HiLabs,"Bengaluru, Karnataka, India",2025-07-16,13:25:15
92,Senior AI Engineer (5+ Years Exp) – Immediate Joiners Only,Perimattic,"Mumbai, Maharashtra, India",2025-07-16,13:25:15
93,Sr. DevOps Engineer,HiLabs,"Pune, Maharashtra, India",2025-07-16,13:27:37
94,Gen AI Specialist - Agent Framework - 100% Remote,VGreen Technology Solutions (VGreenTEK),"Trivandrum, Kerala, India",2025-07-16,13:27:37
95,Gen AI Engineer+.Net Core,NTek Software Solutions,"Hyderabad, Telangana, India",2025-07-16,13:30:05
96,Gen AI Developer,Tata Consultancy Services,"Hyderabad, Telangana, India",2025-07-16,13:30:05
